UNNAMED:_0_LEVEL_0_PLAYER,PASSING_ATT,PASSING_CMP,PASSING_YDS,PASSING_TDS,PASSING_INTS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE
Josh Allen BUF,522.4,334.7,3914.7,29.0,10.5,115.7,571.8,10.7,3.4,376.7,QB,2025-08-14 15:04:24
Lamar Jackson BAL,480.4,321.0,3923.2,32.5,8.3,134.7,827.9,3.9,4.5,375.6,QB,2025-08-14 15:04:24
Jalen Hurts PHI,461.5,311.7,3536.8,23.7,8.9,147.2,633.0,12.6,3.9,358.7,QB,2025-08-14 15:04:24
Jayden Daniels WAS,536.2,364.4,3899.3,26.9,10.7,136.5,746.8,5.6,2.5,355.8,QB,2025-08-14 15:04:24
Joe Burrow CIN,626.7,434.1,4635.9,35.9,10.5,48.2,180.1,2.1,3.8,341.6,QB,2025-08-14 15:04:24
Patrick Mahomes II KC,604.9,409.8,4272.4,30.2,12.1,76.4,371.3,2.9,2.5,328.8,QB,2025-08-14 15:04:24
Baker Mayfield TB,558.6,386.9,4191.9,33.1,14.7,64.2,287.6,2.6,3.9,321.6,QB,2025-08-14 15:04:24
Kyler Murray ARI,543.2,370.9,3856.4,24.5,11.2,88.6,551.3,5.1,3.8,319.1,QB,2025-08-14 15:04:24
Brock Purdy SF,525.2,351.4,4305.1,27.1,12.7,65.2,281.2,3.6,2.9,312.1,QB,2025-08-14 15:04:24
Bo Nix DEN,560.6,366.4,3807.8,27.3,12.1,88.7,421.7,3.5,2.0,308.8,QB,2025-08-14 15:04:24
Justin Fields NYJ,504.9,314.1,3288.5,19.6,11.0,133.3,736.8,6.0,3.8,301.1,QB,2025-08-14 15:04:24
J.J. McCarthy MIN,563.5,367.0,4086.7,28.1,14.5,57.3,258.1,2.0,3.8,291.6,QB,2025-08-14 15:04:24
Dak Prescott DAL,600.8,395.4,4251.2,27.6,12.2,42.7,179.2,1.9,3.0,291.5,QB,2025-08-14 15:04:24
Justin Herbert LAC,540.0,354.0,3976.2,25.8,8.6,65.4,272.1,2.6,2.5,291.5,QB,2025-08-14 15:04:24
Jared Goff DET,554.0,383.4,4391.6,30.5,11.5,32.7,68.9,0.6,2.9,290.8,QB,2025-08-14 15:04:24
Caleb Williams CHI,562.5,357.5,3762.1,23.6,10.3,87.4,472.1,2.4,4.5,287.5,QB,2025-08-14 15:04:24
C.J. Stroud HOU,556.6,358.1,4049.9,24.9,10.6,59.1,258.1,1.7,3.7,279.8,QB,2025-08-14 15:04:24
Jordan Love GB,510.7,327.6,3917.1,27.7,12.2,41.4,166.7,1.9,2.5,278.5,QB,2025-08-14 15:04:24
Trevor Lawrence JAC,553.4,355.3,3981.6,23.3,13.2,54.8,253.6,3.0,4.1,274.7,QB,2025-08-14 15:04:24
Drake Maye NE,520.4,346.9,3572.1,22.0,12.9,75.2,477.0,3.0,4.8,274.0,QB,2025-08-14 15:04:24
Matthew Stafford LAR,564.1,370.5,4141.5,26.5,11.0,30.0,73.4,0.7,2.8,266.7,QB,2025-08-14 15:04:24
